words,commit_message
57,d6109b2ed Merge pull request #13024 from chrisroberts/vbox-net-type
34,516ac4b0a Set address type when not provided
16,999983275 Update CHANGELOG
68,fd72ea592 Merge pull request #13017 from msltwtf/ansible-local-package-install
22,ddbe3bf57 Terraform managed file
43,ca7c05f09 Fix ansible install for older distributions
22,42408839a Terraform managed file
16,dbb382108 Update CHANGELOG
63,10efa9818 Merge pull request #13022 from chrisroberts/macos-isolated-load
44,e2165917e Always load protos regardless of server mode
16,a92f7b4aa Update CHANGELOG
61,2eb393aae Merge pull request #13004 from chrisroberts/vbox-hostnet-dhcp
16,7498a6daf Update CHANGELOG
52,3199cc544 Merge pull request #13006 from chrisroberts/pwsh-7.3
25,5cbf66b93 Update log output to warn
22,21f103298 Terraform managed file
46,1cd6ac3b3 Isolate loading dependencies for serve command
52,1b68be9d5 fix(docs): Fix broken links in ansible docs (#12674)
38,6fb60c9ae Add workaround for Debian 10 and older
74,d58843884 Merge pull request #13007 from hashicorp/vancluever-fix-vagrant-cloud-docs
39,b72813853 Address edit request from @chrisroberts
41,5be804518 Some fixes for the Vagrant Cloud API docs
43,2696c3d74 Import the security module for access check
45,32aef6c48 Rescue address errors and adjust host address
22,a1417385f Terraform managed file
21,047a0dc29 Update default labels
34,0e6685adb Apply suggestions from code review
34,c88c142b1 Apply suggestions from code review
22,8a1e28568 Terraform managed file
28,b1491c0df Update files for development
13,36a8b25b5 Release 2.3.3
22,2710f810f Terraform managed file
16,ff1d721ab Update CHANGELOG
55,8549450cf Merge pull request #12994 from chrisroberts/vbox-locale
32,139083712 Update expected options in tests
61,d8de3016e Merge pull request #12992 from chrisroberts/vbox-networks-nfs
63,15833973c Merge pull request #12991 from chrisroberts/vbox-machine-folder
34,f7e5a9d19 Force LANG when executing commands
55,9e4047533 Customize #read_network_interfaces for hostonlynetworks
35,cbddfbd02 Handle missing machine folder value
16,aa3be5b6a Update CHANGELOG
53,99a7ceced Merge pull request #12973 from peckpeck/rsync_ssh_fix
56,2fe4056a7 Fix test using `File.exists?` to use non-deprecated name
22,321445b9f Terraform managed file
30,3c75864ce Fix ansible shared test helper
66,767342790 Merge pull request #12990 from hashicorp/compliance/update-license
14,445916c5b Update LICENSE
47,17698d858 Add test to validate ssh info extra args append
54,45f504350 Check for extra arguments in ssh info before appending
49,139893603 Fix sync_folder type rsync ignores ssh extra_args
22,97cbb2a05 Terraform managed file
44,bb3985f02 Merge pull request #12754 from gh0st/patch-1
16,4aa001434 Update CHANGELOG
46,0209cd21f Merge pull request #12832 from teh-syntax/main
16,29cc4be20 Update CHANGELOG
59,1dd008d65 Merge pull request #12740 from rbrunckhorst/solaris-sed-fix
47,c75e05d4b Merge pull request #12913 from nist/File.exists
16,f7612b47e Update CHANGELOG
41,915283c68 Merge pull request #12989 from dcode/main
16,5b0237681 Update CHANGELOG
51,b481ae547 Merge pull request #12979 from dcermak/bump-net-ssh
22,a0a1c65b6 Terraform managed file
22,e50c10134 Terraform managed file
32,33898b17e Terraform managed file [skip ci]
30,c3e3b328a Allow access to issues and PRs
49,5139379d4 Merge pull request #12981 from dcermak/bump-rspec
22,40a90fd9b Remove net-ssh patches
22,0ad126309 Bump net-ssh to ~> 7.0
16,6121e2141 Update CHANGELOG
59,da0ab49fb Merge pull request #12983 from chrisroberts/vbox-networking
32,0c2c1c3db Terraform managed file [skip ci]
39,3c5a048af Delete .github/workflows/slack-vars.yml
42,f7d497d4f Delete .github/workflows/hashibot-vars.yml
40,0cea07a55 Delete .github/workflows/packet-vars.yml
49,f581778c2 Fixes Google namespace resolution to global space
32,92b767f01 Terraform managed file [skip ci]
32,2a894e97f Terraform managed file [skip ci]
32,61487c506 Terraform managed file [skip ci]
32,749facb16 Terraform managed file [skip ci]
32,46511689d Terraform managed file [skip ci]
32,ef82c7589 Terraform managed file [skip ci]
32,1884a7017 Terraform managed file [skip ci]
32,6fb59e9a6 Terraform managed file [skip ci]
32,286f651b3 Terraform managed file [skip ci]
32,187c83803 Terraform managed file [skip ci]
32,d7dc7207e Terraform managed file [skip ci]
16,34a1b1de5 Workflow cleanup
16,989d418e4 Update build job
34,8de1375ab Add test coverage to vbox 7 driver
46,c0c4b80dc Pass all options to host only network creation
51,c8a71882d Disable hostonly ip validation for vbox 7 on darwin
49,3604bacc1 Update virtualbox driver for hostonlynets support
19,60ec1943e Fix file formatting
48,9417d0c2e Set minimum Ruby at 2.7, remove 2.6 from testing
45,9b8e0435e Merge pull request #12980 from dcermak/fix-ci
33,7a4b45282 Relax rspec dependency to ~> 3.11
24,0b6faa613 Install bsdtar in the CI
42,be63d8a88 Mark box_collection_test to require bsdtar
57,d14bd0223 Merge pull request #12976 from soapy1/vagrant-up-name-doc
32,e7c7a6564 Terraform managed file [skip ci]
32,75a37721f Terraform managed file [skip ci]
32,5aeb0c025 Terraform managed file [skip ci]
32,85eed728f Terraform managed file [skip ci]
32,e3b541fc8 Terraform managed file [skip ci]
51,f5de9879f Merge pull request #12977 from hashicorp/ci-updates
45,822262582 Don't include comment when locking issues/PRs
30,479a0c60d Clean up workflows and scripts
40,d5d925a78 Print first element when generating path
73,d404ff926 Clarify using 'vagrant up name' must be run from within a Vagrant project
78,9aae93579 Merge pull request #12963 from mateusdeap/fix-typo-in-install-cli-autocomplete
78,ffbabf52f Merge pull request #12951 from deepak-kamath/doc-hyperv-officialdoc-suggestion
41,39240802d chore: Update Digital Team Files (#12969)
38,97a6d689f website: reset redirects file (#12966)
44,3bdb204bf Renames `PERPEND_STRING` to `PREPEND_STRING`
59,3f08d3383 Make bash completion for "vagrant box add" patch by @ip1981
68,1dbc204d2 Merge pull request #12938 from soapy1/allowed-synced-folder-type-doc
28,ca07682d2 Update files for development
13,22bb874de Release 2.3.2
52,ab260131c Merge pull request #12943 from hashicorp/kc.box-docs
16,bf043fc8c Update CHANGELOG
49,1475bc812 Merge pull request #12953 from chrisroberts/vbox7
41,ef0bd8b58 update ruby version and fix sentence wrap
34,824708868 Apply suggestions from code review
38,3845323a5 Continue running other jobs on failure
30,e7e1badbd Add support for VirtualBox 7.0
53,aa491968e Redirect the Hyper-V path to the official Hyper-V Doc
34,306e0de17 Apply suggestions from code review
33,076f342d2 add next steps for creating a box
28,541da82ad rewrite of box overview page
29,c9ce3319d Upgrade next version (#12941)
26,35bd39798 copy edits to upgrade page
23,709897f8c copy edits to uninstall
10,ab9d2ecd3 copy edits
56,228233c75 Merge pull request #12924 from hashicorp/kc.docs-updates
50,90165823d Add docs for 'allowed_synced_folder_types' setting
34,44da90725 Apply suggestions from code review
32,c1fa7e475 Update files for new development
13,ce5861925 Release 2.3.1
65,6ac6f1711 Merge pull request #12926 from soapy1/update-experimental-go-docs
16,ae574fc4e Update CHANGELOG
58,8694a400d Merge pull request #12925 from chrisroberts/fix-user-agent
19,5f3f7fad2 Update CHANGELOG.md
57,7a7c8a467 Merge pull request #12919 from soapy1/box-metadata-errors
39,ab26942d1 Add link to all vagrant-go known issues
41,bc4904264 Secret interactive input is now supported
8,aa4e263cf Bump sdk
57,f811e995d Return errors when box metadata is unavailable or invalid
46,c7ef689d8 Prevent trailing space character on user agent
51,ad2d9da37 Merge pull request #12917 from soapy1/colored-input
8,57a020cde Bump sdk
13,00adb0c3b style updates
38,429ba5468 updates to be consistent with HC style
62,e0646e773 Merge pull request #12899 from hashicorp/kc.issue-template-new
17,b53b38745 remove checklists
42,d958b1535 go generate to pick up input color changes
32,f9c4b2009 updates from our backlog session
49,c8b541f39 Update .github/ISSUE_TEMPLATE/engineering-task.md
16,5edd2efac Update CHANGELOG
51,716694e7b Merge pull request #12910 from chrisroberts/sudoers
58,9829df8b9 Merge pull request #12912 from hashicorp/kc.devdot-updates
49,6f9f88e05 Replace deprecated File.exists? with File.exist?.
65,d5c77ce25 Merge pull request #12896 from hashicorp/kc.issue-template-update
14,9a735f94c devdot updates
63,867b120c8 Merge pull request #12833 from dcermak/relax-grpc-tools-version
16,0b053233e Update CHANGELOG
58,c13c0feab Merge pull request #12885 from wbclark/12884_keys_only_fix
19,3f770aaac Update CHANGELOG.md
60,0aeaab876 Merge pull request #12909 from soapy1/communicator-no-method
16,8492cdcc9 Update CHANGELOG
58,db710d126 Merge pull request #12911 from chrisroberts/version-format
51,efd62b892 Merge pull request #12879 from soapy1/provider-flag
61,9b4868422 Ensure last line from extracting the SSH_AUTH_SOCK is not nil
55,b6d4a8dac Merge pull request #12638 from dcermak/support-ruby-3-1
48,7d7ad89ac Provide helpful error message on invalid version
44,ca229adbe Update NFS documentation for sudoers content
51,b21e4b060 Use static file path when creating new exports file
45,3be4eacaa Return an error if the provider is not usable
19,740383551 Update CHANGELOG.md
56,e753ea12d Merge pull request #12898 from soapy1/pass-around-errors
8,33f0267cc Bump sdk
34,49280286a Strip new lines from error details
53,b9fb6c5f5 Refactor to use localizer to create error with status
21,bd801af98 Add details to errors
33,9a276d781 Get additional message into error
35,880db9adc Add dependency on google rpc protos
60,ccb89c014 Don't check for errors when checking if a provider is usable
45,add66c4c2 Include message in rpc status error from ruby
17,6d4f769c8 Validate provider
59,571daea63 Validate provider by default when collecting machine config
25,f26ff28ad Set provider if available
19,b8a644793 Update CHANGELOG.md
55,d0d81d6bb Merge pull request #12888 from soapy1/terminal-coloring
45,a5c7831ff content: link updates for dev portal (#12901)
19,bec2e7c73 Update CHANGELOG.md
64,166abaacf Merge pull request #12895 from soapy1/validate-box-metadata-json
54,0129345fc Merge pull request #12893 from soapy1/spectesting-yaml
8,2509f2cc4 Bump sdk
30,c3cb87104 add new template for eng tasks
43,9196bad2f all explanatory text is now in comment form
41,115bec2b0 Add test for validating box metadata.json
29,70d62a519 copy edits, reorg of sections
64,ccc232914 Raise error if required metadata.json box fields are not present
46,686f9949f Add plugin example of coloring terminal output
50,21e9fc367 Use basic ui if using a non color enabled terminal
62,f7cd08b20 Pass terminal output color option from Ruby to terminal plugin
26,45d15e12c Support color in runner ui
54,e96738bf4 Add protos for supporting colored terminal line events
18,55e89ed37 Colorize ui output
30,a718e228a Colour go experimental warning
35,b462e721b Fix syntax error in spectesting.yml
46,61a04ed93 Merge pull request #12892 from soapy1/mod-tidy
12,84c4702e0 Run mod tidy
19,878b1914c Update CHANGELOG.md
50,1d102c0de Merge pull request #12876 from soapy1/secret-input
8,4e69ab658 Bump sdk
50,32f4d0571 Merge pull request #12890 from kaitlincart/patch-1
14,692f08d8e Add new config
68,15df2c69b (#12884) Use default ssh.private_key_path when ssh.keys_only = false
57,241810b28 Merge pull request #12834 from danbarr/fix-capitalization
62,1e39161a7 Ensure candidate ips are available when determining mount name
36,8bdb5e797 Pass in echo/secret ui input setting
48,1d5dd3d14 Merge pull request #12850 from soapy1/vmware-tos
25,fb5a50f2c Remove vmware plugin eula
45,2e6df3f77 Remove vmware plugin tos (no longer relevant)
27,f59ee4e12 Fix capitalizations in docs
50,a6e61bcc3 Relax overly strict grpc-tools version requirement
22,91bbefaff Add Ruby 3.1 to the CI
24,c5f4cce4f Add support for Ruby 3.1
73,3f2d64869 Fixed issue provisioning ubuntu 22.04 python-dev has no install candidate
37,29b04f4f9 Include extension on compressed asset
32,4170cafab Update files for new development
34,c209ef02b Update released version on website
13,ee2f0e2a7 Release 2.3.0
14,a86e3c991 Tidy up go.mod
56,fe84a4738 Merge pull request #12828 from chrisroberts/go-setup-mod
32,47a914805 Set go version using go.mod file
29,ebb3296e9 Update setup-go actions to v3
37,345cc058d Update go version in mod file to 1.17
57,0d02f0377 Merge pull request #12827 from chrisroberts/build-updates
41,d2e95ad3b Build and store multiple types for binary
33,db3157843 Add 32 bit build target for linux
42,22dd78fb4 Isolate spec runs to acceptance repository
42,00b34d8b0 Isolate spec runs to acceptance repository
65,feb763caa Merge pull request #12826 from chrisroberts/fix-fake-ftp-patching
38,d31f9a59a Only patch fake_ftp when running tests
49,8e83537f7 Merge pull request #12786 from g-rendeiro/patch-1
52,14e825b8d Merge pull request #12753 from dcermak/bump-fake_ftp
19,88ee48463 Update CHANGELOG.md
65,1b93691b8 Merge pull request #12567 from electrofelix/improve-gem-resolving
50,aee8d7b96 Merge pull request #12785 from dustymabe/dusty-el9
48,df94a3656 Patch fake_ftp for determining the size of files
13,9cf8c23f4 Fix push test
19,3d619aac1 Update CHANGELOG.md
42,6f44de507 Merge pull request #12813 from sni/patch-1
36,3ad20c4c7 guests: add Alma Linux guest support
54,d82d0fb65 guests: make CentOS/RHEL flavor detection more dynamic
61,4336aff67 guests/centos: use GUEST_DETECTION_NAME='centos' to ID CentOS
42,3b1e277f7 guests: RHEL 9 and CentOS stream 9 are out
48,7e54c8319 Merge pull request #12473 from soapy1/docs-fixes
16,6a19770d8 Update CHANGELOG
54,da1b89b82 Merge pull request #12584 from chrisroberts/algo-patch
16,8be63e5c4 Update CHANGELOG
23,ab59462cf Update contributing doc
33,8c1b59c2b Include failure message on upload
46,11fa561c3 Rename the generated binary before compressing
53,15ec67b08 Merge pull request #12822 from chrisroberts/fix-build
45,3dbbec964 Install submodules before attempting to build
60,913630e45 Merge pull request #12821 from chrisroberts/update-ci-loader
24,053e2d0a4 Update CI loading script
59,7658b9c7e Merge pull request #12716 from lmnewton/fix-env-wincurl-doc
65,4c34c9d26 Merge pull request #12646 from hashicorp/push-heroku-print-output
51,9f474338f Merge pull request #12668 from dcermak/bump_ed25519
62,bfb3c88e1 Fixing typo for VAGRANT_DISABLE_WINCURL option in website docs
40,7e9f310df Bump fake_ftp to ~> 0.3.0 & adjust tests
57,dfdfc98f6 Merge pull request #12820 from soapy1/restore-vagrantfile
17,16b907eed Grammatical fixes
35,3246849b1 Bump version of ed25519 to ~> 1.3.0
52,73ee447c8 Stop using the last argument as kwargs in unit tests
39,ba93a4e32 Restore Vagrant development Vagrantfile
57,87689f5f1 Merge pull request #329 from hashicorp/warn-compatability
61,d05e4503b Add docs for VAGRANT_SUPPRESS_GO_EXPERIMENTAL_WARNING env var
32,2f5c18570 Warn users when using vagrant-go
54,6aa63e309 Merge pull request #326 from hashicorp/release-updates
54,b10ca08d6 Merge pull request #327 from hashicorp/command-options
8,e9488a041 bump sdk
58,7c56c74bb Support and honor the "primary" option for Command plugins
64,9a096926c Merge pull request #328 from hashicorp/ci-enable-more-components
66,5170d83c2 Merge pull request #325 from hashicorp/load-external-plugin-config
48,62d16b3b9 Build and store the binary on non-release builds
39,c2d8f892a Find type to unany objects when mapping
56,54502d5d6 Merge pull request #324 from hashicorp/fix-packaged-hang
49,cbbc0ca7f Keep deferred close as multiple calls are allowed
40,1ae72d628 Use cleanup and log error if encountered
23,dca389eda Generated proto updates
48,1a0c6b9d7 Request ruby runtime to stop itself when closing
64,3942a359d Merge pull request #323 from hashicorp/fix-multimachine-parallel
68,0081bb0f9 Merge pull request #322 from hashicorp/cleanup-target-dir-on-destroy
44,3aedfb497 Include `Stop()` function on the ruby client
43,b917dc466 Implement stop on the ruby internal service
40,8c3393bd6 Add `Stop` rpc for ruby internal service
53,fda4aef9c Make server instance accessible, return integer value
54,d5e41e328 Check base command close for error and modify exitcode
68,fc76f71ff Fix vbox multimachine by setting provider parallel default correctly
46,7441927f0 Set not created machine state when appropriate
51,c99914749 Merge pull request #321 from hashicorp/check-v1-box
8,2fc44897f Bump sdk
65,5df47c885 Check for existence of metatdata.json to determine if a box is v1
26,7678c28f6 Add warning about v1 boxes
29,0af2ff570 Automatically update v1 boxes
38,a846e55a0 ci: enable shell provisioner component
63,fe4956ac8 Merge pull request #314 from hashicorp/ruby-load-global-plugins
45,c736a528c Build go binary and include in release assets
24,ee9e63ca4 Setup go for release job
32,8fe4ec4c8 Update nfs_client.rb for rocky 9
62,8fedb6752 Merge pull request #320 from hashicorp/add-some-dev-setup-docs
35,2d1b6aa62 Add some info on developing with go
55,092bf6ebc Merge pull request #319 from hashicorp/fix-provisioners
45,9ab94f997 Fix crashes on Vagrantfiles with provisioners
52,7ccfff3ec Merge pull request #318 from hashicorp/provider-opts
25,4f0082adf Fix provider options typo
53,59a0a2a3a Merge pull request #313 from hashicorp/go-plugins-doc
58,313905dde Merge pull request #317 from hashicorp/fix-help-subcommand
58,1d2e48792 Merge pull request #312 from hashicorp/ruby-plugin-options
8,9d406a736 bump sdk
53,a916cddf6 Re-enable pending test since box_optional works again
66,957d0d377 Bring plugin options back to Ruby for providers and synced folders
49,f3dbc24a2 Band-aid to prevent help subcommand from erroring
56,ae49b1f13 Merge pull request #316 from hashicorp/fix-vbox-acctests
37,b47052276 Add docs for writing go based plugins
33,da77316f9 Fix virtualbox lifecycle acctests
77,1235930d6 Merge pull request #315 from hashicorp/fix-go-losing-track-of-docker-machines
8,43bf75886 Bump sdk
24,5bc7218a7 Load global ruby plugins
41,8d46b09a1 Fix Docker machines being lost in go side
54,a517aaab5 Merge pull request #311 from hashicorp/vagrant-go-docs
23,802c016fe Add docs for Vagrant-go
58,ad0a16487 Merge pull request #307 from hashicorp/global-status-fixes
10,bbc226579 Update SDK
22,a7d365292 Generated proto update
47,da9892a62 Use #to_proto on class match, otherwise convert
36,2572d4f62 Include class where error originated
58,e082fd635 Machine mapper no longer needs to load through environment
41,67895c927 Allow a machine client to load its target
52,58fce4088 Add `AsTarget()` to machine and include nicer output
54,d5ec93902 Request target in spec and allow conversion to machine
42,d2ad38a60 Do not load provider during initialization
49,766b95104 Ensure config is set on basis/project during init
40,df42e88aa Attach project logger to target on scrub
44,23983d30d Reload project after target created in tests
45,410650117 Setup our logger so we get output on failures
45,6d0b5363c Update target init/scrub behavior on projects
29,7c28aa3ce Add Exists() helper to target
50,e78d0b668 Close project in test to force full target removal
56,08bcc8e9c When unsetting machine ID, just set state to not created
42,df0a4342a When project is provided set ref into data
37,2c756b3c0 Update testing helpers to use factory
48,2c3522901 Perform target lookup to validate exist and name
47,9fe949287 Only store configuration if vagrantfile defined
32,bdf1cfe6b Set test target state to created
56,762fac3ae Init project config and only save if vagrantfile defined
42,0a4b9c901 Always save the target when saving machine
54,561934188 Use factory values only if provided options left unset
61,a3b32bdf6 Default configuration data, only store if vagrantfile defined
49,0f7c4f25c Load target in index via factory. Filter targets.
39,4dd69a07a Generated proto updates for vagrantfile
50,3c88c9ca7 Support individual value fetching from vagrantfile
45,19b4adb3b Implement get_value rpc in vagrantfile client
39,e959369a0 Use factory for scope loading in runner
43,5df92814c Update function call name fo init operation
47,51d8c8474 Refactor how scopes are created and initialized
47,b82d55cc3 Update vagrantfile to load machines via factory
57,81754f4f9 Add logging when using cache version and closing instance
35,50dd39c5f Update factory to build scope types
83,27d08534c Merge pull request #309 from hashicorp/fix-docker-by-supporting-machine-with-no-box
54,45882c784 Merge pull request #310 from hashicorp/active-machines
8,23db31bde bump sdk
58,a6caa47f8 Environment#active_machines should return a list of  tuple
52,ee8883153 Make Docker provider work again post config refactor
70,66a22e525 Merge pull request #303 from hashicorp/synced_folder_has_override_opts
47,1bc4c4be7 Merge pull request #304 from hashicorp/close-ui
59,6cda7d355 Merge pull request #308 from hashicorp/unbreak-what-i-broke
74,f5d778d51 Revert "Merge pull request #300 from hashicorp/optimize-ruby-command-list"
70,59a8e9bb0 Merge pull request #306 from hashicorp/fix-capability-boolean-handling
8,7f695b7bb Bump sdk
11,9043ab4c4 go generate
66,e70a25e24 Use the scoped hash override to get overriden synced folder config
81,ffc2dd729 Use more generic hash for folder options. This will allow using exisiting mappers
8,b17c36c7c Fix typo
11,e8c0587c8 go generate
55,0b53e0668 Merge pull request #297 from hashicorp/port-command-fix
59,f1af42a7f Don't use hash with indifferent access when converting hash
37,73801703e Pass machine to provider capabilities
28,19fbd81c8 Close UI if it is close-able
64,522c56f0c Merge pull request #305 from hashicorp/use-default-synced-folder
47,75d900c93 Fix Type::Booleans leaking through capabilities
65,1c26a4abb Merge pull request #300 from hashicorp/optimize-ruby-command-list
49,91478e9e0 Fix method for getting default synced folder type
54,186824a56 Merge pull request #302 from hashicorp/private-network
63,5709027c4 Update mapper tests for not returning HashWithIndifferentAccess
66,fe0b31900 Merge pull request #298 from hashicorp/fix-no-vagrantfile-commands
43,eeba30539 Rely on string/symbol maps for hash mapping
8,17be9ba35 bump sdk
54,fb2a102c7 Fix init and other commands that run without a project
57,25d00b4ff Merge pull request #301 from hashicorp/sparse-vagrantfile
45,6aa50189a Return empty results when no content to parse
34,52d37217a Use cache from CommandServe module
19,20ec85b02 Use remote provider
65,2d0891931 Merge pull request #296 from hashicorp/case-of-the-missing-target
53,8b7d702dd Check existing target state and remove if not created
43,e7df8b6c5 Properly delete the target from the project
42,b365827f7 Save updated project after deleting target
8,065d2f2ff Bump sdk
59,f54861872 Merge pull request #293 from hashicorp/default-communicator
33,b01ace79f Set default communicator constant
34,935c66541 Add tests for default communicator
41,22b2d52e0 Get communicator specified in Vagrnatfile
57,6669cd0f8 Merge pull request #288 from hashicorp/docker-provider-up
41,a146f3bea Fetch all ruby commands in single request
40,e1d7962ee Generated proto updates for get commands
52,067e6aeed Add get commands implementation to client and server
28,29a5c1b85 Add rpc for getting commands
39,ffa10b4d8 Return integer value from serve command
29,ced8f947f Modify ordering of attributes
52,8859e2e03 Add test communicator plugin to guest detection test
58,adadf26c9 Check if communicator is available before detecting guests
72,e0a30f9ba Raise error if communicator is not ready when getting guest from machine
39,f4d3f3892 Fix type in communicator#ready funcspec
53,a08204d4b Merge pull request #299 from hashicorp/fix-ruby-tests
54,191386421 Update remote machine test for fully go backed machine
52,0372da5f5 Update mapper tests for hash with indifferent access
34,67a5c4387 Add Machine state direct converter
